,losso,knn,svm,ensemble
0,0,1,1,1
1,0,1,1,2
2,0,1,1,3
3,0,1,2,1
4,0,1,2,3
5,0,1,3,3
6,0,2,1,1
7,0,2,1,3
8,0,2,3,3
9,0,3,1,3
10,0,3,2,3
11,0,3,3,3
12,1,0,1,1
13,1,0,1,2
14,1,0,1,3
15,1,0,2,1
16,1,0,2,3
17,1,0,3,3
18,1,1,0,1
19,1,1,0,2
20,1,1,0,3
21,1,1,1,0
22,1,1,1,2
23,1,1,1,3
24,1,1,2,0
25,1,1,2,1
26,1,1,2,3
27,1,1,3,3
28,1,2,0,1
29,1,2,0,3
30,1,2,1,0
31,1,2,1,1
32,1,2,1,3
33,1,2,3,3
34,1,3,0,3
35,1,3,1,3
36,1,3,2,3
37,1,3,3,3
38,2,0,1,1
39,2,0,1,3
40,2,0,3,3
41,2,1,0,1
42,2,1,0,3
43,2,1,1,0
44,2,1,1,1
45,2,1,1,3
46,2,1,3,3
47,2,3,0,3
48,2,3,1,3
49,2,3,3,3
