,CpuPercent,Latency
0,1.0,0.32227612222943985
0,1.0,0.32227612222943985
1,0.75,0.19490899358476912
2,0.75,0.19482680388859341
3,1.0,0.20142839295523507
4,1.0,0.29972654070172994
0,1.0,0.32227612222943985
1,0.75,0.19490899358476912
2,0.75,0.19482680388859341
3,1.0,0.20142839295523507
4,1.0,0.29972654070172994
5,1.0,0.2934078897748675
0,1.0,0.32227612222943985
1,0.75,0.19490899358476912
2,0.75,0.19482680388859341
3,1.0,0.20142839295523507
4,1.0,0.29972654070172994
5,1.0,0.2934078897748675
6,0.83,0.2793672527585711
0,1.0,0.3102353198187692
0,1.0,0.3102353198187692
1,1.0,0.3219553402491978
0,1.0,0.3102353198187692
1,1.0,0.3219553402491978
2,0.83,0.31517700467790877
0,1.0,0.3102353198187692
1,1.0,0.3219553402491978
2,0.83,0.31517700467790877
3,0.75,0.1904519660132272
4,1.0,0.19200573308127267
5,1.0,0.1927809510912214
6,1.0,0.29116968427385603
0,1.0,0.3102353198187692
1,1.0,0.3219553402491978
2,0.83,0.31517700467790877
3,0.75,0.1904519660132272
4,1.0,0.19200573308127267
5,1.0,0.1927809510912214
6,1.0,0.29116968427385603
7,0.83,0.27543442589896067
0,1.0,0.3102353198187692
1,1.0,0.3219553402491978
2,0.83,0.31517700467790877
3,0.75,0.1904519660132272
4,1.0,0.19200573308127267
5,1.0,0.1927809510912214
6,1.0,0.29116968427385603
7,0.83,0.27543442589896067
8,0.83,0.28085783890315463
0,0.92,0.2626805203301566
0,0.92,0.2626805203301566
1,0.92,0.26519923550742014
0,0.92,0.2626805203301566
1,0.92,0.26519923550742014
2,0.88,0.20162641320909772
3,0.92,0.24703283309936525
0,0.92,0.2979226725442069
0,0.92,0.31572421278272356
0,0.92,0.31572421278272356
1,0.92,0.33221820422581266
0,0.92,0.31572421278272356
1,0.92,0.33221820422581266
2,0.88,0.19162179742540633
3,0.92,0.2768210717609951
0,0.92,0.3173357963562012
0,0.83,0.2549471650804792
0,1.0,0.3139333963394165
0,1.0,0.3139333963394165
1,1.0,0.30606818199157715
0,1.0,0.3139333963394165
1,1.0,0.30606818199157715
2,0.83,0.2943140200206212
0,1.0,0.3139333963394165
1,1.0,0.30606818199157715
2,0.83,0.2943140200206212
3,0.75,0.2284604685647147
4,1.0,0.19115572656903948
5,1.0,0.19483002594539098
6,1.0,0.28088229043143137
0,1.0,0.3139333963394165
1,1.0,0.30606818199157715
2,0.83,0.2943140200206212
3,0.75,0.2284604685647147
4,1.0,0.19115572656903948
5,1.0,0.19483002594539098
6,1.0,0.28088229043143137
7,0.83,0.25621956075940816
0,1.0,0.3139333963394165
1,1.0,0.30606818199157715
2,0.83,0.2943140200206212
3,0.75,0.2284604685647147
4,1.0,0.19115572656903948
5,1.0,0.19483002594539098
6,1.0,0.28088229043143137
7,0.83,0.25621956075940816
