,CpuPercent,Latency
0,1.0,0.7666523933410645
0,1.0,0.7666523933410645
1,1.0,0.7134668827056885
0,1.0,0.7666523933410645
1,1.0,0.7134668827056885
2,1.0,0.7949803829193115
0,1.0,0.7666523933410645
1,1.0,0.7134668827056885
2,1.0,0.7949803829193115
3,0.83,0.7010051250457764
0,1.0,0.6323511123657226
0,1.0,0.6323511123657226
1,1.0,0.7202864408493042
0,1.0,0.6323511123657226
1,1.0,0.7202864408493042
2,0.83,0.6635112285614013
0,1.0,0.6323511123657226
1,1.0,0.7202864408493042
2,0.83,0.6635112285614013
3,1.0,0.7034125089645386
0,1.0,0.6323511123657226
1,1.0,0.7202864408493042
2,0.83,0.6635112285614013
3,1.0,0.7034125089645386
4,0.83,0.6255947351455688
0,1.0,0.6323511123657226
1,1.0,0.7202864408493042
2,0.83,0.6635112285614013
3,1.0,0.7034125089645386
4,0.83,0.6255947351455688
5,0.83,0.7108505964279175
0,0.92,0.6815654039382935
0,0.92,0.6815654039382935
1,0.92,0.7321330547332764
0,0.92,0.6815654039382935
1,0.92,0.7321330547332764
2,0.92,0.7315274000167846
0,0.92,0.6854935646057129
0,0.92,0.6537489891052246
0,0.92,0.6537489891052246
1,0.92,0.7648029327392578
0,0.92,0.6537489891052246
1,0.92,0.7648029327392578
2,0.92,0.7287234306335449
0,0.92,0.7314307451248169
0,0.83,0.6622473955154419
0,1.0,0.8053594589233398
0,1.0,0.8053594589233398
1,1.0,0.7393922328948974
0,1.0,0.8053594589233398
1,1.0,0.7393922328948974
2,1.0,0.8174279451370239
0,1.0,0.8053594589233398
1,1.0,0.7393922328948974
2,1.0,0.8174279451370239
3,0.83,0.8348289728164673
0,1.0,0.733103609085083
0,1.0,0.733103609085083
1,1.0,0.7789055585861206
0,1.0,0.733103609085083
1,1.0,0.7789055585861206
2,0.83,0.7517707109451294
0,1.0,0.733103609085083
1,1.0,0.7789055585861206
2,0.83,0.7517707109451294
3,1.0,0.7913547039031983
0,1.0,0.733103609085083
1,1.0,0.7789055585861206
2,0.83,0.7517707109451294
3,1.0,0.7913547039031983
4,0.83,0.7093160390853882
0,1.0,0.733103609085083
1,1.0,0.7789055585861206
2,0.83,0.7517707109451294
3,1.0,0.7913547039031983
4,0.83,0.7093160390853882
5,0.83,0.8110429286956787
0,0.92,0.6354202270507813
0,0.92,0.6354202270507813
1,0.92,0.6947720766067504
0,0.92,0.6354202270507813
1,0.92,0.6947720766067504
2,0.92,0.6803210258483887
0,0.92,0.6674327373504638
