,CpuPercent,Latency
0,0.75,0.1022354507446289
1,1.0,0.1538613224029541
0,0.75,0.1022354507446289
1,1.0,0.1538613224029541
2,0.75,0.09696314334869385
3,1.0,0.09700003147125244
4,1.0,0.1616606616973877
0,0.75,0.1022354507446289
1,1.0,0.1538613224029541
2,0.75,0.09696314334869385
3,1.0,0.09700003147125244
4,1.0,0.1616606616973877
5,0.75,0.10039219379425049
6,1.0,0.09942040443420411
7,1.0,0.14364489078521728
0,0.75,0.1022354507446289
1,1.0,0.1538613224029541
2,0.75,0.09696314334869385
3,1.0,0.09700003147125244
4,1.0,0.1616606616973877
5,0.75,0.10039219379425049
6,1.0,0.09942040443420411
7,1.0,0.14364489078521728
8,0.83,0.1349138832092285
0,1.0,0.16128363609313964
0,1.0,0.16128363609313964
1,0.75,0.10154231071472168
2,1.0,0.09875478744506835
3,1.0,0.1411508846282959
0,1.0,0.16128363609313964
1,0.75,0.10154231071472168
2,1.0,0.09875478744506835
3,1.0,0.1411508846282959
4,0.83,0.1439533519744873
0,1.0,0.16128363609313964
1,0.75,0.10154231071472168
2,1.0,0.09875478744506835
3,1.0,0.1411508846282959
4,0.83,0.1439533519744873
5,1.0,0.09954885482788085
6,1.0,0.1561368989944458
0,1.0,0.16128363609313964
1,0.75,0.10154231071472168
2,1.0,0.09875478744506835
3,1.0,0.1411508846282959
4,0.83,0.1439533519744873
5,1.0,0.09954885482788085
6,1.0,0.1561368989944458
7,0.83,0.14428622722625734
0,1.0,0.16128363609313964
1,0.75,0.10154231071472168
2,1.0,0.09875478744506835
3,1.0,0.1411508846282959
4,0.83,0.1439533519744873
5,1.0,0.09954885482788085
6,1.0,0.1561368989944458
7,0.83,0.14428622722625734
8,1.0,0.11387301445007324
9,0.83,0.1427455425262451
0,0.92,0.13431384086608886
0,0.92,0.13431384086608886
1,0.88,0.10500239849090576
2,0.92,0.12994508743286132
0,0.92,0.13431384086608886
1,0.88,0.10500239849090576
2,0.92,0.12994508743286132
3,0.92,0.133251314163208
0,0.92,0.13937594890594482
0,0.92,0.14202855587005614
0,0.92,0.14202855587005614
1,0.88,0.09902592182159424
2,0.92,0.15157442092895507
0,0.92,0.14202855587005614
1,0.88,0.09902592182159424
2,0.92,0.15157442092895507
3,0.92,0.13587863445281984
0,0.92,0.1586577558517456
0,0.83,0.13329217910766603
0,0.75,0.10451733589172363
1,1.0,0.17074691772460937
0,0.75,0.10451733589172363
1,1.0,0.17074691772460937
2,0.75,0.09670173168182374
3,1.0,0.09687161922454834
4,1.0,0.1674626064300537
0,0.75,0.10451733589172363
1,1.0,0.17074691772460937
2,0.75,0.09670173168182374
3,1.0,0.09687161922454834
4,1.0,0.1674626064300537
5,0.75,0.09826368808746339
6,1.0,0.10030851364135743
7,1.0,0.16395421981811523
0,0.75,0.10451733589172363
1,1.0,0.17074691772460937
2,0.75,0.09670173168182374
3,1.0,0.09687161922454834
4,1.0,0.1674626064300537
5,0.75,0.09826368808746339
6,1.0,0.10030851364135743
7,1.0,0.16395421981811523
8,0.83,0.15566892623901368
0,1.0,0.18085462093353272
0,1.0,0.18085462093353272
1,0.75,0.1014595890045166
2,1.0,0.09940399646759034
3,1.0,0.1679108715057373
0,1.0,0.18085462093353272
1,0.75,0.1014595890045166
2,1.0,0.09940399646759034
3,1.0,0.1679108715057373
4,0.83,0.17217329978942872
0,1.0,0.18085462093353272
1,0.75,0.1014595890045166
2,1.0,0.09940399646759034
3,1.0,0.1679108715057373
4,0.83,0.17217329978942872
5,1.0,0.09770594596862793
6,1.0,0.1685263729095459
0,1.0,0.18085462093353272
1,0.75,0.1014595890045166
2,1.0,0.09940399646759034
3,1.0,0.1679108715057373
4,0.83,0.17217329978942872
5,1.0,0.09770594596862793
6,1.0,0.1685263729095459
7,0.83,0.16380971431732178
0,1.0,0.18085462093353272
1,0.75,0.1014595890045166
2,1.0,0.09940399646759034
3,1.0,0.1679108715057373
4,0.83,0.17217329978942872
5,1.0,0.09770594596862793
6,1.0,0.1685263729095459
7,0.83,0.16380971431732178
8,1.0,0.10709028720855712
9,0.83,0.1600225353240967
0,0.92,0.14530739784240723
0,0.92,0.14530739784240723
1,0.88,0.11009193897247314
2,0.92,0.1483781862258911
0,0.92,0.14530739784240723
1,0.88,0.11009193897247314
2,0.92,0.1483781862258911
3,0.92,0.1370379686355591
0,0.92,0.15510066509246825
0,1.0,0.1545967388153076
0,1.0,0.1545967388153076
1,0.75,0.10257957935333252
2,1.0,0.10191343307495117
3,1.0,0.1459610319137573
0,1.0,0.1545967388153076
1,0.75,0.10257957935333252
2,1.0,0.10191343307495117
3,1.0,0.1459610319137573
4,0.83,0.13588496685028076
0,1.0,0.1545967388153076
1,0.75,0.10257957935333252
2,1.0,0.10191343307495117
3,1.0,0.1459610319137573
4,0.83,0.13588496685028076
5,1.0,0.10051947116851806
6,1.0,0.14363771438598633
0,1.0,0.1545967388153076
1,0.75,0.10257957935333252
2,1.0,0.10191343307495117
3,1.0,0.1459610319137573
4,0.83,0.13588496685028076
5,1.0,0.10051947116851806
6,1.0,0.14363771438598633
7,0.83,0.12663025856018068
0,1.0,0.1545967388153076
1,0.75,0.10257957935333252
2,1.0,0.10191343307495117
3,1.0,0.1459610319137573
4,0.83,0.13588496685028076
5,1.0,0.10051947116851806
6,1.0,0.14363771438598633
7,0.83,0.12663025856018068
8,1.0,0.11609446048736573
9,0.83,0.1264992380142212
0,1.0,0.10218475341796875
1,0.75,0.3966762399673462
2,1.0,0.09988820552825928
3,0.92,0.14362726211547852
0,1.0,0.10218475341796875
1,0.75,0.3966762399673462
2,1.0,0.09988820552825928
3,0.92,0.14362726211547852
4,1.0,0.10504793167114258
5,0.75,0.39630985736846924
6,1.0,0.10901130676269531
7,0.75,0.3967061710357666
8,0.92,0.14478883743286133
0,1.0,0.14108808994293212
0,1.0,0.14108808994293212
1,0.88,0.11210960865020753
2,0.75,0.39769127845764163
3,0.88,0.10755328178405761
4,0.75,0.3988259506225586
5,1.0,0.13770137786865233
0,1.0,0.14108808994293212
1,0.88,0.11210960865020753
2,0.75,0.39769127845764163
3,0.88,0.10755328178405761
4,0.75,0.3988259506225586
5,1.0,0.13770137786865233
6,1.0,0.13962818145751954
0,1.0,0.14108808994293212
1,0.88,0.11210960865020753
2,0.75,0.39769127845764163
3,0.88,0.10755328178405761
4,0.75,0.3988259506225586
5,1.0,0.13770137786865233
6,1.0,0.13962818145751954
7,0.75,0.396516056060791
8,1.0,0.13355177402496338
0,1.0,0.14961956024169923
0,1.0,0.14961956024169923
1,0.75,0.39762839794158933
2,1.0,0.14951844215393068
0,0.92,0.1423112630844116
0,0.92,0.1423112630844116
1,0.88,0.09829379081726074
2,0.92,0.14050765514373778
0,0.92,0.1423112630844116
1,0.88,0.09829379081726074
2,0.92,0.14050765514373778
3,0.92,0.13008662223815917
0,0.92,0.1463994312286377
0,1.0,0.16909024715423585
0,1.0,0.16909024715423585
1,0.88,0.09699756145477295
2,0.75,0.39789602279663083
3,0.88,0.09668010711669922
4,0.75,0.3981787061691284
5,1.0,0.16658543109893797
0,1.0,0.16909024715423585
1,0.88,0.09699756145477295
2,0.75,0.39789602279663083
3,0.88,0.09668010711669922
4,0.75,0.3981787061691284
5,1.0,0.16658543109893797
6,1.0,0.17472357273101807
0,1.0,0.16909024715423585
1,0.88,0.09699756145477295
2,0.75,0.39789602279663083
3,0.88,0.09668010711669922
4,0.75,0.3981787061691284
5,1.0,0.16658543109893797
6,1.0,0.17472357273101807
7,0.75,0.3980251932144165
8,1.0,0.176720814704895
0,1.0,0.17393423080444337
0,1.0,0.17393423080444337
1,0.75,0.3984428119659424
2,1.0,0.18249592781066895
0,1.0,0.13319958686828615
0,1.0,0.13319958686828615
1,0.5,0.09922732353210449
2,0.75,0.10109486579895019
3,1.0,0.15312541007995606
0,1.0,0.13319958686828615
1,0.5,0.09922732353210449
2,0.75,0.10109486579895019
3,1.0,0.15312541007995606
4,1.0,0.09784521579742432
5,1.0,0.12131473541259766
0,1.0,0.13319958686828615
1,0.5,0.09922732353210449
2,0.75,0.10109486579895019
3,1.0,0.15312541007995606
4,1.0,0.09784521579742432
5,1.0,0.12131473541259766
6,0.83,0.1399195146560669
0,0.75,0.13563086986541747
0,0.75,0.13563086986541747
1,0.75,0.12469277381896973
0,0.5,0.11470769882202149
1,0.75,0.10618666648864745
2,0.75,0.09825971126556396
3,0.58,0.11737185955047608
0,0.92,0.13279630184173585
0,0.92,0.13279630184173585
1,0.75,0.12125247955322266
0,0.92,0.13279630184173585
1,0.75,0.12125247955322266
2,0.88,0.1009054183959961
3,0.75,0.10804356575012207
0,0.92,0.15246937274932862
0,0.92,0.15246937274932862
1,0.75,0.14121900558471678
0,0.92,0.15246937274932862
1,0.75,0.14121900558471678
2,0.88,0.10387431621551514
3,0.75,0.13935304164886475
0,0.92,0.15246937274932862
1,0.75,0.14121900558471678
2,0.88,0.10387431621551514
3,0.75,0.13935304164886475
4,0.75,0.15536148548126222
0,0.92,0.1527320909500122
0,0.92,0.1527320909500122
1,0.75,0.14022280216217042
0,0.92,0.1527320909500122
1,0.75,0.14022280216217042
2,0.5,0.12386631011962891
3,0.75,0.11348207950592042
4,0.75,0.11590368270874024
0,0.75,0.0971443271636963
1,1.0,0.09730073451995849
2,1.0,0.14195202350616454
0,0.75,0.0971443271636963
1,1.0,0.09730073451995849
2,1.0,0.14195202350616454
3,0.83,0.12996984958648683
0,0.75,0.0971443271636963
1,1.0,0.09730073451995849
2,1.0,0.14195202350616454
3,0.83,0.12996984958648683
4,1.0,0.09949256896972657
5,0.83,0.1317074155807495
0,0.75,0.10266493797302247
1,0.75,0.3969609546661377
2,0.75,0.09729413986206055
3,1.0,0.09898137092590333
4,0.92,0.13690860748291014
0,0.75,0.10266493797302247
1,0.75,0.3969609546661377
2,0.75,0.09729413986206055
3,1.0,0.09898137092590333
4,0.92,0.13690860748291014
5,0.75,0.09852373600006104
6,1.0,0.09975769996643066
7,0.75,0.3972696018218994
8,0.75,0.10110641956329346
9,1.0,0.09901793479919434
10,0.75,0.3967376661300659
11,0.75,0.3963843870162964
12,0.92,0.13674264430999755
0,0.75,0.10266493797302247
1,0.75,0.3969609546661377
2,0.75,0.09729413986206055
3,1.0,0.09898137092590333
4,0.92,0.13690860748291014
5,0.75,0.09852373600006104
6,1.0,0.09975769996643066
7,0.75,0.3972696018218994
8,0.75,0.10110641956329346
9,1.0,0.09901793479919434
10,0.75,0.3967376661300659
11,0.75,0.3963843870162964
12,0.92,0.13674264430999755
13,0.92,0.14088889598846435
0,0.88,0.11243463516235351
1,0.75,0.39698894500732423
2,0.83,0.15000638961791993
0,0.88,0.11243463516235351
1,0.75,0.39698894500732423
2,0.83,0.15000638961791993
3,0.83,0.13829556941986085
0,1.0,0.1526009225845337
0,1.0,0.1526009225845337
1,0.83,0.14090649604797365
0,1.0,0.1526009225845337
1,0.83,0.14090649604797365
2,0.5,0.1256351089477539
3,0.75,0.1030584716796875
4,0.75,0.3972292900085449
5,0.75,0.39698626041412355
6,1.0,0.1403339099884033
0,1.0,0.1526009225845337
1,0.83,0.14090649604797365
2,0.5,0.1256351089477539
3,0.75,0.1030584716796875
4,0.75,0.3972292900085449
5,0.75,0.39698626041412355
6,1.0,0.1403339099884033
7,1.0,0.14576516628265382
0,1.0,0.1526009225845337
1,0.83,0.14090649604797365
2,0.5,0.1256351089477539
