,CpuPercent,Latency
0,0.75,0.0047046422958374025
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
5,0.75,0.005492099126180013
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
5,0.75,0.005492099126180013
6,1.0,0.004835772514343262
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
5,0.75,0.005492099126180013
6,1.0,0.004835772514343262
7,0.75,0.003811486562093099
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
5,0.75,0.005492099126180013
6,1.0,0.004835772514343262
7,0.75,0.003811486562093099
8,1.0,0.004389127095540364
0,0.75,0.0047046422958374025
1,0.75,0.0037366787592569986
2,0.75,0.005725479125976563
3,1.0,0.005106345812479655
4,0.75,0.006313347816467285
5,0.75,0.005492099126180013
6,1.0,0.004835772514343262
7,0.75,0.003811486562093099
8,1.0,0.004389127095540364
9,1.0,0.00891859531402588
0,0.75,0.005500308672587077
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
5,1.0,0.005875126520792643
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
5,1.0,0.005875126520792643
6,0.75,0.008790858586629232
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
5,1.0,0.005875126520792643
6,0.75,0.008790858586629232
7,1.0,0.008743000030517579
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
5,1.0,0.005875126520792643
6,0.75,0.008790858586629232
7,1.0,0.008743000030517579
8,1.0,0.00594172477722168
0,0.75,0.005500308672587077
1,0.75,0.005005796750386556
2,1.0,0.0048823674519856775
3,0.75,0.004366612434387207
4,1.0,0.004523078600565593
5,1.0,0.005875126520792643
6,0.75,0.008790858586629232
7,1.0,0.008743000030517579
8,1.0,0.00594172477722168
9,1.0,0.004177490870157878
0,0.88,0.00537708600362142
0,0.88,0.00537708600362142
1,0.88,0.005577588081359863
0,0.88,0.00537708600362142
1,0.88,0.005577588081359863
2,0.88,0.004795662562052409
0,0.88,0.00537708600362142
1,0.88,0.005577588081359863
2,0.88,0.004795662562052409
3,0.88,0.006358424822489421
0,0.88,0.004825806617736817
0,0.88,0.004359149932861328
0,0.88,0.004359149932861328
1,0.88,0.004269131024678548
0,0.88,0.004359149932861328
1,0.88,0.004269131024678548
2,0.88,0.004306721687316895
0,0.88,0.004359149932861328
1,0.88,0.004269131024678548
2,0.88,0.004306721687316895
3,0.88,0.0043604532877604164
0,0.88,0.004175917307535807
0,1.0,0.005177497863769531
0,0.75,0.0046517292658487955
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
2,0.75,0.006741213798522949
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
2,0.75,0.006741213798522949
3,1.0,0.005528847376505534
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
2,0.75,0.006741213798522949
3,1.0,0.005528847376505534
4,0.75,0.0075462102890014645
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
2,0.75,0.006741213798522949
3,1.0,0.005528847376505534
4,0.75,0.0075462102890014645
5,0.75,0.00446014404296875
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
2,0.75,0.006741213798522949
3,1.0,0.005528847376505534
4,0.75,0.0075462102890014645
5,0.75,0.00446014404296875
6,1.0,0.005830168724060059
0,0.75,0.0046517292658487955
1,0.75,0.0037235339482625325
