,CpuPercent,Latency
0,0.75,0.7369492530822754
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
5,0.75,0.7029510259628295
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
5,0.75,0.7029510259628295
6,1.0,0.7134483814239502
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
5,0.75,0.7029510259628295
6,1.0,0.7134483814239502
7,1.0,0.7566636323928833
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
5,0.75,0.7029510259628295
6,1.0,0.7134483814239502
7,1.0,0.7566636323928833
8,0.83,0.7169584512710572
0,0.75,0.7369492530822754
1,1.0,0.7133409261703492
2,0.75,0.7149612426757812
3,1.0,0.7359095335006713
4,1.0,0.7364347219467163
5,0.75,0.7029510259628295
6,1.0,0.7134483814239502
7,1.0,0.7566636323928833
8,0.83,0.7169584512710572
9,1.0,0.7114930152893066
0,1.0,0.7350118637084961
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
5,1.0,0.6721973896026612
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
5,1.0,0.6721973896026612
6,1.0,0.7427695512771606
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
5,1.0,0.6721973896026612
6,1.0,0.7427695512771606
7,0.83,0.7261538028717041
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
5,1.0,0.6721973896026612
6,1.0,0.7427695512771606
7,0.83,0.7261538028717041
8,1.0,0.729794716835022
0,1.0,0.7350118637084961
1,0.75,0.7685434103012085
2,1.0,0.689729881286621
3,1.0,0.7375591993331909
4,0.83,0.7456648111343384
5,1.0,0.6721973896026612
6,1.0,0.7427695512771606
7,0.83,0.7261538028717041
8,1.0,0.729794716835022
9,0.83,0.7413302898406983
0,0.92,0.735440444946289
0,0.92,0.735440444946289
1,0.88,0.7157293319702148
0,0.92,0.735440444946289
1,0.88,0.7157293319702148
2,0.92,0.737210488319397
0,0.92,0.735440444946289
1,0.88,0.7157293319702148
2,0.92,0.737210488319397
3,0.92,0.7213762760162353
0,0.92,0.7250450611114502
0,0.92,0.7278482675552368
0,0.92,0.7278482675552368
1,0.88,0.7269469976425171
0,0.92,0.7278482675552368
1,0.88,0.7269469976425171
2,0.92,0.7185137748718262
0,0.92,0.7278482675552368
1,0.88,0.7269469976425171
2,0.92,0.7185137748718262
3,0.92,0.7528655052185058
0,0.92,0.7050292253494262
0,0.83,0.7173107862472534
0,1.0,0.7108308792114257
0,1.0,0.7108308792114257
1,0.5,0.7386869430541992
