,CpuPercent,Latency
0,1.0,0.41602855920791626
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
5,1.0,0.3850716292858124
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
5,1.0,0.3850716292858124
6,0.83,0.3560143768787384
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
5,1.0,0.3850716292858124
6,0.83,0.3560143768787384
7,1.0,0.38232496976852415
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
5,1.0,0.3850716292858124
6,0.83,0.3560143768787384
7,1.0,0.38232496976852415
8,0.83,0.3422615170478821
0,1.0,0.41602855920791626
1,1.0,0.396866911649704
2,1.0,0.41065022349357605
3,0.83,0.38432650566101073
4,1.0,0.3795441806316376
5,1.0,0.3850716292858124
6,0.83,0.3560143768787384
7,1.0,0.38232496976852415
8,0.83,0.3422615170478821
9,0.83,0.35932350158691406
0,1.0,0.3752155065536499
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
5,0.83,0.37867276668548583
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
5,0.83,0.37867276668548583
6,1.0,0.38971924781799316
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
5,0.83,0.37867276668548583
6,1.0,0.38971924781799316
7,0.83,0.3616017460823059
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
5,0.83,0.37867276668548583
6,1.0,0.38971924781799316
7,0.83,0.3616017460823059
8,0.83,0.385704892873764
0,1.0,0.3752155065536499
1,1.0,0.40154711008071897
2,0.83,0.37169509530067446
3,1.0,0.41269793510437014
4,0.83,0.3549387872219086
5,0.83,0.37867276668548583
6,1.0,0.38971924781799316
7,0.83,0.3616017460823059
8,0.83,0.385704892873764
9,0.83,0.369761711359024
0,0.92,0.36556690335273745
0,0.92,0.36556690335273745
1,0.92,0.39250418543815613
0,0.92,0.36556690335273745
1,0.92,0.39250418543815613
2,0.92,0.37384532690048217
0,0.92,0.36556690335273745
1,0.92,0.39250418543815613
2,0.92,0.37384532690048217
3,0.92,0.33752627968788146
0,0.92,0.3679543673992157
0,1.0,0.40989232063293457
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
5,1.0,0.38182179927825927
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
5,1.0,0.38182179927825927
6,0.83,0.33355435729026794
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
5,1.0,0.38182179927825927
6,0.83,0.33355435729026794
7,1.0,0.3572844505310059
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
5,1.0,0.38182179927825927
6,0.83,0.33355435729026794
7,1.0,0.3572844505310059
8,0.83,0.3572403728961945
0,1.0,0.40989232063293457
1,1.0,0.3933428168296814
2,1.0,0.4300140142440796
3,0.83,0.4160205662250519
4,1.0,0.35206352472305297
5,1.0,0.38182179927825927
6,0.83,0.33355435729026794
7,1.0,0.3572844505310059
8,0.83,0.3572403728961945
9,0.83,0.3279274761676788
