,CpuPercent,Latency
0,0.75,1.570765995979309
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
5,1.0,0.9662926707948957
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
5,1.0,0.9662926707948957
6,0.75,0.9038025549479893
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
5,1.0,0.9662926707948957
6,0.75,0.9038025549479893
7,1.0,1.4551851953778947
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
5,1.0,0.9662926707948957
6,0.75,0.9038025549479893
7,1.0,1.4551851953778947
8,1.0,1.069086687905448
0,0.75,1.570765995979309
1,0.75,1.1673722505569457
2,1.0,1.4103338479995728
3,0.75,1.0955816881997245
4,1.0,1.3712127583367484
5,1.0,0.9662926707948957
6,0.75,0.9038025549479893
7,1.0,1.4551851953778947
8,1.0,1.069086687905448
9,1.0,1.2575672933033535
0,0.88,2.363824016707284
0,0.88,2.2488287278584074
0,0.75,0.9078038658414568
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
5,1.0,0.9731166430882046
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
5,1.0,0.9731166430882046
6,0.75,0.880295855658395
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
5,1.0,0.9731166430882046
6,0.75,0.880295855658395
7,1.0,0.954003552028111
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
5,1.0,0.9731166430882046
6,0.75,0.880295855658395
7,1.0,0.954003552028111
8,1.0,0.8880632264273507
0,0.75,0.9078038658414568
1,0.75,1.0714071069444928
2,1.0,0.9028658219746181
3,0.75,1.269440197944641
4,1.0,0.887806943484715
5,1.0,0.9731166430882046
6,0.75,0.880295855658395
7,1.0,0.954003552028111
8,1.0,0.8880632264273507
9,1.0,0.8786285127912249
0,1.0,0.8207452603748866
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
4,1.0,0.7657060146331787
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
4,1.0,0.7657060146331787
5,1.0,0.8749599286488124
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
4,1.0,0.7657060146331787
5,1.0,0.8749599286488124
6,1.0,0.750376558303833
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
4,1.0,0.7657060146331787
5,1.0,0.8749599286488124
6,1.0,0.750376558303833
7,1.0,0.767218964440482
0,1.0,0.8207452603748866
1,1.0,0.8023638895579747
2,1.0,0.8065692867551532
3,1.0,0.8738439900534494
4,1.0,0.7657060146331787
5,1.0,0.8749599286488124
6,1.0,0.750376558303833
7,1.0,0.767218964440482
8,1.0,0.7741598980767387
0,0.88,0.8748331001826695
0,0.88,0.8748331001826695
1,0.88,0.8635554824556623
0,0.88,0.8748331001826695
1,0.88,0.8635554824556623
2,0.88,0.8554513556616646
0,0.88,0.8098069190979004
0,0.88,0.7087529216493879
0,0.88,0.7087529216493879
1,0.88,0.7217160020555768
0,0.88,0.7087529216493879
1,0.88,0.7217160020555768
2,0.88,0.7205033949443272
