,CpuPercent,Latency
0,1.0,1.6611107647418977
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
5,1.0,1.577358788251877
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
5,1.0,1.577358788251877
6,0.83,1.508831161260605
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
5,1.0,1.577358788251877
6,0.83,1.508831161260605
7,1.0,1.540627372264862
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
5,1.0,1.577358788251877
6,0.83,1.508831161260605
7,1.0,1.540627372264862
8,0.83,1.4927166759967805
0,1.0,1.6611107647418977
1,1.0,1.6567235171794892
2,1.0,1.7128347039222718
3,0.83,1.6432565867900848
4,1.0,1.5221368193626403
5,1.0,1.577358788251877
6,0.83,1.508831161260605
7,1.0,1.540627372264862
8,0.83,1.4927166759967805
9,0.83,1.5593763887882233
0,1.0,1.7475687682628631
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
5,0.83,1.7684901237487793
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
5,0.83,1.7684901237487793
6,1.0,1.5312461018562318
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
5,0.83,1.7684901237487793
6,1.0,1.5312461018562318
7,0.83,1.4793555915355683
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
5,0.83,1.7684901237487793
6,1.0,1.5312461018562318
7,0.83,1.4793555915355683
8,0.83,1.5438009262084962
0,1.0,1.7475687682628631
1,1.0,1.794804573059082
2,0.83,1.7557569026947022
3,1.0,1.738253539800644
4,0.83,1.6939395427703858
5,0.83,1.7684901237487793
6,1.0,1.5312461018562318
7,0.83,1.4793555915355683
8,0.83,1.5438009262084962
9,0.83,1.5032560348510742
0,0.92,1.5491525113582612
0,0.92,1.5491525113582612
1,0.92,1.6006012916564942
0,0.92,1.5491525113582612
1,0.92,1.6006012916564942
2,0.92,1.6354026198387146
0,0.92,1.5491525113582612
1,0.92,1.6006012916564942
2,0.92,1.6354026198387146
3,0.92,1.4044233202934264
0,0.92,1.5228521943092346
0,1.0,1.5609096348285676
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
3,1.0,1.478080302476883
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
3,1.0,1.478080302476883
4,0.83,1.4073492288589478
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
3,1.0,1.478080302476883
4,0.83,1.4073492288589478
5,0.83,1.4546711564064025
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
3,1.0,1.478080302476883
4,0.83,1.4073492288589478
5,0.83,1.4546711564064025
6,1.0,1.4115750670433045
0,1.0,1.5609096348285676
1,1.0,1.549407559633255
2,0.83,1.4870272517204284
