,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,34.5166122164045,11.689286841664993
1,1,2,1,2,2,0,1,1,0,1,35.76188386167799,10.838318535259793
2,1,2,2,2,1,0,1,1,0,1,36.720372039931156,17.700523226601735
3,1,2,2,2,2,0,1,1,0,1,34.862800516401016,14.90596627848489
4,2,1,1,2,2,0,1,1,0,1,28.960121130943303,2.2859427520207003
5,2,1,2,2,1,0,1,1,0,1,31.880213076727728,3.0353416715349466
6,2,1,2,2,2,0,1,1,0,1,29.217717518125266,2.3830421686172487
7,2,2,1,2,1,0,1,1,0,1,28.934562185832434,2.3750547817775183
8,2,2,1,2,2,0,1,1,0,1,28.766544822284153,2.1347011361803325
9,2,2,2,2,1,0,1,1,0,1,31.015709291185647,2.6658147232873097
10,1,1,1,2,2,0,1,1,0,2,41.113022855349946,3.0175238302775798
11,1,1,2,2,1,0,1,1,0,2,40.42557846818652,8.809324584688461
12,1,1,2,2,2,0,1,1,0,2,40.27578471388136,5.377563960211616
13,1,2,1,2,1,0,1,1,0,2,38.77770235879081,10.456737450190953
14,1,2,1,2,2,0,1,1,0,2,39.04540433543069,4.0841998747416906
15,1,2,2,2,1,0,1,1,0,2,39.08989120892116,15.064051372664313
16,2,1,1,2,1,0,1,1,0,2,30.26847537585667,2.7008763619831635
17,2,1,1,2,2,0,1,1,0,2,33.034199878147675,2.3357360226767403
18,2,1,2,2,1,0,1,1,0,2,31.81575560569763,2.4621951001031057
19,2,2,1,2,1,0,1,1,0,2,30.79727844170161,2.6343795537948607
20,1,1,1,2,2,0,1,2,0,1,32.314940612656734,2.25515455859048
21,1,1,2,2,1,0,1,2,0,1,33.184987633568895,6.5614456517355775
22,1,2,1,2,1,0,1,2,0,1,32.73405478681837,6.181175259181432
23,2,1,1,2,1,0,1,2,0,1,23.277013107708527,17.325651536669053
24,1,1,1,2,1,0,1,2,0,2,60.718632800238474,4.592272370202201
25,1,1,1,2,2,0,2,1,0,1,16.047720861434936,4.316294915335519
26,1,1,2,2,1,0,2,1,0,1,15.34923882825034,12.264618962151664
