,CpuPercent,Latency
0,0.75,0.4751333157221476
1,0.75,0.4579767227172852
2,1.0,0.8026472846666972
0,0.75,0.4751333157221476
1,0.75,0.4579767227172852
2,1.0,0.8026472846666972
3,1.0,0.46394339005152385
4,0.75,0.482451069355011
5,1.0,0.7540140708287557
0,0.75,0.4751333157221476
1,0.75,0.4579767227172852
2,1.0,0.8026472846666972
3,1.0,0.46394339005152385
4,0.75,0.482451069355011
5,1.0,0.7540140708287557
6,1.0,0.6137177626291911
7,1.0,0.7031063159306844
0,0.75,0.4751333157221476
1,0.75,0.4579767227172852
2,1.0,0.8026472846666972
3,1.0,0.46394339005152385
4,0.75,0.482451069355011
5,1.0,0.7540140708287557
6,1.0,0.6137177626291911
7,1.0,0.7031063159306844
8,1.0,0.6004965782165528
9,0.83,0.7350237965583801
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
2,1.0,0.4825443069140116
3,1.0,0.7856235822041829
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
2,1.0,0.4825443069140116
3,1.0,0.7856235822041829
4,1.0,0.46467267274856566
5,0.83,0.8035064458847045
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
2,1.0,0.4825443069140116
3,1.0,0.7856235822041829
4,1.0,0.46467267274856566
5,0.83,0.8035064458847045
6,1.0,0.7493974725405376
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
2,1.0,0.4825443069140116
3,1.0,0.7856235822041829
4,1.0,0.46467267274856566
5,0.83,0.8035064458847045
6,1.0,0.7493974725405376
7,1.0,0.5348798791567485
8,0.83,0.6956569155057272
0,0.75,0.5060125668843587
1,1.0,0.7901249647140502
2,1.0,0.4825443069140116
3,1.0,0.7856235822041829
4,1.0,0.46467267274856566
5,0.83,0.8035064458847045
6,1.0,0.7493974725405376
7,1.0,0.5348798791567485
8,0.83,0.6956569155057272
9,0.83,0.7026763677597045
0,0.88,0.5069570859273275
1,0.92,0.6687240640322367
0,0.88,0.5069570859273275
1,0.92,0.6687240640322367
2,0.92,0.6654778560002644
0,0.88,0.5069570859273275
1,0.92,0.6687240640322367
2,0.92,0.6654778560002644
3,0.92,0.6271277268727621
0,0.92,0.8239990711212158
0,0.88,0.4991806348164876
1,0.92,0.7450031201044719
0,0.88,0.4991806348164876
1,0.92,0.7450031201044719
2,0.92,0.7396008968353271
0,0.88,0.4991806348164876
