,CpuPercent,Latency
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
2,0.75,0.19595460891723632
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
2,0.75,0.19595460891723632
3,1.0,0.20213963190714518
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
2,0.75,0.19595460891723632
3,1.0,0.20213963190714518
4,1.0,0.30373144149780273
5,1.0,0.2914209524790446
6,0.83,0.279216198126475
7,0.75,0.18503970702489217
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
2,0.75,0.19595460891723632
3,1.0,0.20213963190714518
4,1.0,0.30373144149780273
5,1.0,0.2914209524790446
6,0.83,0.279216198126475
7,0.75,0.18503970702489217
8,1.0,0.18983668088912964
0,1.0,0.320104193687439
1,0.75,0.19484522342681884
2,0.75,0.19595460891723632
3,1.0,0.20213963190714518
4,1.0,0.30373144149780273
5,1.0,0.2914209524790446
6,0.83,0.279216198126475
7,0.75,0.18503970702489217
8,1.0,0.18983668088912964
9,1.0,0.1910636345545451
0,1.0,0.30489832957585655
1,1.0,0.3283167600631714
2,0.83,0.3141360799471537
3,0.75,0.19030770460764568
0,1.0,0.30489832957585655
1,1.0,0.3283167600631714
2,0.83,0.3141360799471537
3,0.75,0.19030770460764568
4,1.0,0.19187550544738768
0,1.0,0.30489832957585655
1,1.0,0.3283167600631714
2,0.83,0.3141360799471537
3,0.75,0.19030770460764568
4,1.0,0.19187550544738768
5,1.0,0.1925511082013448
0,1.0,0.30489832957585655
1,1.0,0.3283167600631714
2,0.83,0.3141360799471537
3,0.75,0.19030770460764568
4,1.0,0.19187550544738768
5,1.0,0.1925511082013448
6,1.0,0.28974571625391643
7,0.83,0.27303345600763956
8,0.83,0.28049362103144326
9,1.0,0.21259400049845378
0,0.92,0.26476911306381223
1,0.92,0.2647628664970398
2,0.88,0.20006340742111206
0,0.92,0.3127785603205363
1,0.92,0.32926307519276937
2,0.88,0.19159273306528726
0,1.0,0.30986159245173134
1,1.0,0.29968499739964805
2,0.83,0.29283599853515624
3,0.75,0.23419069449106852
0,1.0,0.30986159245173134
1,1.0,0.29968499739964805
2,0.83,0.29283599853515624
3,0.75,0.23419069449106852
4,1.0,0.19150417645772297
0,1.0,0.30986159245173134
1,1.0,0.29968499739964805
2,0.83,0.29283599853515624
3,0.75,0.23419069449106852
4,1.0,0.19150417645772297
5,1.0,0.1942355473836263
0,1.0,0.30986159245173134
1,1.0,0.29968499739964805
2,0.83,0.29283599853515624
3,0.75,0.23419069449106852
4,1.0,0.19150417645772297
5,1.0,0.1942355473836263
6,1.0,0.2811522245407104
7,0.83,0.2562796473503113
8,0.83,0.28174513975779214
9,1.0,0.19975319703420003
0,0.75,0.6380770683288575
1,1.0,0.1897442579269409
0,0.75,0.6380770683288575
1,1.0,0.1897442579269409
2,1.0,0.18923368851343791
0,0.75,0.6396463950475056
1,1.0,0.18664530118306477
0,0.75,0.6396463950475056
1,1.0,0.18664530118306477
2,1.0,0.19073841571807862
0,0.75,0.6396463950475056
1,1.0,0.18664530118306477
2,1.0,0.19073841571807862
3,0.75,0.6370976527531942
4,0.75,0.6325997432072957
5,0.92,0.29336453676223756
6,0.92,0.2969674547513326
7,1.0,0.19904050827026368
0,0.75,0.6396463950475056
1,1.0,0.18664530118306477
2,1.0,0.19073841571807862
3,0.75,0.6370976527531942
4,0.75,0.6325997432072957
5,0.92,0.29336453676223756
6,0.92,0.2969674547513326
7,1.0,0.19904050827026368
8,1.0,0.19853135744730632
0,0.75,0.6383079767227173
1,0.75,0.6397095878918966
2,1.0,0.2807374517122904
3,1.0,0.2922666549682617
4,0.88,0.20543030897776285
0,0.75,0.6383079767227173
1,0.75,0.6397095878918966
2,1.0,0.2807374517122904
