,CpuPercent,Latency
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
5,0.75,0.4627285623550415
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
5,0.75,0.4627285623550415
6,1.0,0.5479009675979615
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
5,0.75,0.4627285623550415
6,1.0,0.5479009675979615
7,0.75,0.4890170764923096
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
5,0.75,0.4627285623550415
6,1.0,0.5479009675979615
7,0.75,0.4890170764923096
8,1.0,0.5199541568756103
0,1.0,0.8455247592926025
1,1.0,0.7842508172988891
2,1.0,0.8647641324996949
3,0.83,0.8224382591247559
4,0.75,0.511701545715332
5,0.75,0.4627285623550415
6,1.0,0.5479009675979615
7,0.75,0.4890170764923096
8,1.0,0.5199541568756103
9,1.0,0.4751030206680298
0,1.0,0.6684017610549927
1,1.0,0.7516463422775268
2,0.83,0.69077570438385
3,1.0,0.7634884309768677
4,0.83,0.6501140832901001
5,0.83,0.8132328319549561
6,0.75,0.4756083822250366
0,1.0,0.6684017610549927
1,1.0,0.7516463422775268
2,0.83,0.69077570438385
3,1.0,0.7634884309768677
4,0.83,0.6501140832901001
5,0.83,0.8132328319549561
6,0.75,0.4756083822250366
7,1.0,0.5307706642150879
0,1.0,0.6684017610549927
1,1.0,0.7516463422775268
2,0.83,0.69077570438385
3,1.0,0.7634884309768677
4,0.83,0.6501140832901001
5,0.83,0.8132328319549561
6,0.75,0.4756083822250366
7,1.0,0.5307706642150879
8,1.0,0.4761546802520752
0,1.0,0.6684017610549927
1,1.0,0.7516463422775268
2,0.83,0.69077570438385
3,1.0,0.7634884309768677
4,0.83,0.6501140832901001
5,0.83,0.8132328319549561
6,0.75,0.4756083822250366
7,1.0,0.5307706642150879
8,1.0,0.4761546802520752
9,1.0,0.48044739246368406
0,0.92,0.6350198984146118
1,0.92,0.6733816051483155
2,0.92,0.6908238554000854
3,0.88,0.8806415605545044
0,0.92,0.6762980985641479
1,0.92,0.811247911453247
2,0.92,0.8042786979675293
3,0.88,0.5134621477127075
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
5,0.75,0.4788848495483398
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
5,0.75,0.4788848495483398
6,1.0,0.5781058835983276
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
5,0.75,0.4788848495483398
6,1.0,0.5781058835983276
7,0.75,0.4772492551803589
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
5,0.75,0.4788848495483398
6,1.0,0.5781058835983276
7,0.75,0.4772492551803589
8,1.0,0.5251984310150146
0,1.0,0.8862156677246094
1,1.0,0.8525297594070435
2,1.0,0.9944966316223145
3,0.83,0.9513397169113159
4,0.75,0.5083182144165039
5,0.75,0.4788848495483398
6,1.0,0.5781058835983276
7,0.75,0.4772492551803589
8,1.0,0.5251984310150146
9,1.0,0.4739035987854004
0,1.0,0.8085406303405762
1,1.0,0.9198861694335938
2,0.83,0.8735231351852417
3,1.0,0.9564915037155152
4,0.83,0.8600436544418335
5,0.83,0.9318272161483765
6,0.75,0.47102386474609376
0,1.0,0.8085406303405762
1,1.0,0.9198861694335938
2,0.83,0.8735231351852417
3,1.0,0.9564915037155152
4,0.83,0.8600436544418335
5,0.83,0.9318272161483765
6,0.75,0.47102386474609376
7,1.0,0.5077502870559693
0,1.0,0.8085406303405762
1,1.0,0.9198861694335938
2,0.83,0.8735231351852417
3,1.0,0.9564915037155152
4,0.83,0.8600436544418335
5,0.83,0.9318272161483765
6,0.75,0.47102386474609376
7,1.0,0.5077502870559693
8,1.0,0.47105673313140867
0,1.0,0.8085406303405762
1,1.0,0.9198861694335938
