,CpuPercent,Latency
0,0.75,0.0053852319717407225
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
5,0.75,0.005915021896362305
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
5,0.75,0.005915021896362305
6,1.0,0.004828453063964844
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
5,0.75,0.005915021896362305
6,1.0,0.004828453063964844
7,0.75,0.0038366079330444335
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
5,0.75,0.005915021896362305
6,1.0,0.004828453063964844
7,0.75,0.0038366079330444335
8,1.0,0.004372429847717285
0,0.75,0.0053852319717407225
1,0.75,0.003701472282409668
2,0.75,0.005708026885986328
3,1.0,0.005990719795227051
4,0.75,0.0068776607513427734
5,0.75,0.005915021896362305
6,1.0,0.004828453063964844
7,0.75,0.0038366079330444335
8,1.0,0.004372429847717285
9,1.0,0.009138870239257812
0,0.75,0.005022406578063965
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
5,1.0,0.0056596040725708004
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
5,1.0,0.0056596040725708004
6,0.75,0.008066940307617187
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
5,1.0,0.0056596040725708004
6,0.75,0.008066940307617187
7,1.0,0.008582520484924316
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
5,1.0,0.0056596040725708004
6,0.75,0.008066940307617187
7,1.0,0.008582520484924316
8,1.0,0.005136656761169434
0,0.75,0.005022406578063965
1,0.75,0.004997110366821289
2,1.0,0.004561138153076172
3,0.75,0.00443873405456543
4,1.0,0.004426383972167968
5,1.0,0.0056596040725708004
6,0.75,0.008066940307617187
7,1.0,0.008582520484924316
8,1.0,0.005136656761169434
9,1.0,0.0036688327789306642
0,0.88,0.0052393913269042965
0,0.88,0.0052393913269042965
1,0.88,0.004976820945739746
0,0.88,0.0052393913269042965
1,0.88,0.004976820945739746
2,0.88,0.004240632057189941
0,0.88,0.0052393913269042965
1,0.88,0.004976820945739746
2,0.88,0.004240632057189941
3,0.88,0.006793761253356933
0,0.88,0.005745339393615723
0,0.88,0.0043840169906616214
0,0.88,0.0043840169906616214
1,0.88,0.004183650016784668
0,0.88,0.0043840169906616214
1,0.88,0.004183650016784668
2,0.88,0.004392075538635254
0,0.88,0.0043840169906616214
1,0.88,0.004183650016784668
2,0.88,0.004392075538635254
3,0.88,0.004106879234313965
0,0.88,0.004181194305419922
0,1.0,0.00444951057434082
0,0.75,0.005088424682617188
0,0.75,0.005088424682617188
1,0.75,0.003767561912536621
0,0.75,0.005088424682617188
1,0.75,0.003767561912536621
2,0.75,0.006772136688232422
0,0.75,0.005088424682617188
1,0.75,0.003767561912536621
2,0.75,0.006772136688232422
3,1.0,0.004999756813049316
0,0.75,0.005088424682617188
1,0.75,0.003767561912536621
2,0.75,0.006772136688232422
