,CpuPercent,Latency
0,1.0,0.2669410854578018
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
5,1.0,0.23529474437236786
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
5,1.0,0.23529474437236786
6,1.0,0.20234171748161317
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
5,1.0,0.23529474437236786
6,1.0,0.20234171748161317
7,0.83,0.1860155314207077
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
5,1.0,0.23529474437236786
6,1.0,0.20234171748161317
7,0.83,0.1860155314207077
8,1.0,0.21562420129776
0,1.0,0.2669410854578018
1,0.75,0.23983848989009857
2,1.0,0.24224255084991456
3,1.0,0.2465384691953659
4,0.83,0.21672370731830598
5,1.0,0.23529474437236786
6,1.0,0.20234171748161317
7,0.83,0.1860155314207077
8,1.0,0.21562420129776
9,0.83,0.19563773572444915
0,1.0,0.23790352046489716
0,1.0,0.23790352046489716
1,0.75,0.22798616886138917
0,1.0,0.2577649563550949
0,1.0,0.2577649563550949
1,0.75,0.25213937759399413
0,1.0,0.2577649563550949
1,0.75,0.25213937759399413
2,0.92,0.22499562203884124
0,1.0,0.2577649563550949
1,0.75,0.25213937759399413
2,0.92,0.22499562203884124
3,1.0,0.24134067595005035
0,1.0,0.2577649563550949
1,0.75,0.25213937759399413
2,0.92,0.22499562203884124
3,1.0,0.24134067595005035
4,0.75,0.2295345574617386
0,1.0,0.2577649563550949
1,0.75,0.25213937759399413
2,0.92,0.22499562203884124
3,1.0,0.24134067595005035
4,0.75,0.2295345574617386
5,0.75,0.24250282049179078
0,1.0,0.22410932183265686
0,1.0,0.22410932183265686
1,0.88,0.2500470817089081
0,1.0,0.22410932183265686
1,0.88,0.2500470817089081
2,0.75,0.23404423892498016
0,1.0,0.22410932183265686
1,0.88,0.2500470817089081
2,0.75,0.23404423892498016
3,0.75,0.2362609624862671
0,1.0,0.22410932183265686
1,0.88,0.2500470817089081
2,0.75,0.23404423892498016
3,0.75,0.2362609624862671
4,1.0,0.2106022298336029
0,1.0,0.22410932183265686
1,0.88,0.2500470817089081
2,0.75,0.23404423892498016
3,0.75,0.2362609624862671
4,1.0,0.2106022298336029
5,0.75,0.21289753019809723
0,1.0,0.23334480822086334
0,1.0,0.23334480822086334
1,0.75,0.2652726322412491
0,0.92,0.20511127412319183
0,0.92,0.20511127412319183
1,0.88,0.23608579933643342
0,0.92,0.20511127412319183
1,0.88,0.23608579933643342
2,0.92,0.2188616007566452
0,0.92,0.20511127412319183
1,0.88,0.23608579933643342
2,0.92,0.2188616007566452
3,0.92,0.1895012617111206
0,0.92,0.20718228220939636
0,1.0,0.2696458280086517
0,1.0,0.2696458280086517
1,0.88,0.2598692953586578
0,1.0,0.2696458280086517
1,0.88,0.2598692953586578
2,0.75,0.2701474666595459
0,1.0,0.2696458280086517
1,0.88,0.2598692953586578
2,0.75,0.2701474666595459
3,0.75,0.2658381462097168
0,1.0,0.2696458280086517
1,0.88,0.2598692953586578
2,0.75,0.2701474666595459
3,0.75,0.2658381462097168
4,1.0,0.22770949602127075
0,1.0,0.2696458280086517
1,0.88,0.2598692953586578
2,0.75,0.2701474666595459
3,0.75,0.2658381462097168
4,1.0,0.22770949602127075
5,0.75,0.24517596364021302
0,1.0,0.2581252038478851
0,1.0,0.2581252038478851
1,0.75,0.27638347148895265
0,0.75,0.24949806928634644
0,0.75,0.24949806928634644
1,1.0,0.22048029601573943
0,0.75,0.24949806928634644
1,1.0,0.22048029601573943
2,1.0,0.20412684082984925
0,0.75,0.24949806928634644
1,1.0,0.22048029601573943
2,1.0,0.20412684082984925
3,0.83,0.20500768721103668
0,0.75,0.24949806928634644
1,1.0,0.22048029601573943
2,1.0,0.20412684082984925
3,0.83,0.20500768721103668
4,1.0,0.19314104914665223
0,0.75,0.24949806928634644
1,1.0,0.22048029601573943
2,1.0,0.20412684082984925
3,0.83,0.20500768721103668
4,1.0,0.19314104914665223
5,0.83,0.20135864913463591
0,0.75,0.258903768658638
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
6,0.75,0.23986703157424927
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
6,0.75,0.23986703157424927
7,1.0,0.23891594111919404
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
6,0.75,0.23986703157424927
7,1.0,0.23891594111919404
8,0.75,0.20564827919006348
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
6,0.75,0.23986703157424927
7,1.0,0.23891594111919404
8,0.75,0.20564827919006348
9,0.75,0.18698639571666717
0,0.75,0.258903768658638
1,0.75,0.22014181911945344
2,1.0,0.2073658972978592
3,0.92,0.21798431873321533
4,0.75,0.20827807784080504
5,1.0,0.18265875279903412
6,0.75,0.23986703157424927
7,1.0,0.23891594111919404
8,0.75,0.20564827919006348
9,0.75,0.18698639571666717
10,0.92,0.21822625994682313
0,0.88,0.23659628331661225
0,0.88,0.23659628331661225
1,0.75,0.2480994075536728
0,0.88,0.23659628331661225
1,0.75,0.2480994075536728
2,0.83,0.1939723461866379
0,1.0,0.20798476040363312
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
15,0.83,0.1933976650238037
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
15,0.83,0.1933976650238037
16,0.67,0.17407698333263397
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
15,0.83,0.1933976650238037
16,0.67,0.17407698333263397
17,0.75,0.19988732933998107
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
15,0.83,0.1933976650238037
16,0.67,0.17407698333263397
17,0.75,0.19988732933998107
18,1.0,0.17178937792778015
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
9,0.75,0.251861909031868
10,0.75,0.20873042345046997
11,1.0,0.24224276840686798
12,0.83,0.24726172685623168
13,0.75,0.24208306074142455
14,1.0,0.23951049745082856
15,0.83,0.1933976650238037
16,0.67,0.17407698333263397
17,0.75,0.19988732933998107
18,1.0,0.17178937792778015
19,0.75,0.21173391938209535
0,1.0,0.20798476040363312
1,0.83,0.225059112906456
2,0.5,0.1937696874141693
3,0.75,0.2079702466726303
4,0.75,0.24937257468700408
5,0.75,0.2551251947879791
6,1.0,0.23078863620758056
7,0.5,0.2478459060192108
8,0.75,0.2057185262441635
