,CpuPercent,Latency
0,1.0,0.4205811595916748
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
5,1.0,0.4100460386276245
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
5,1.0,0.4100460386276245
6,0.83,0.35500073432922363
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
5,1.0,0.4100460386276245
6,0.83,0.35500073432922363
7,1.0,0.3796428918838501
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
5,1.0,0.4100460386276245
6,0.83,0.35500073432922363
7,1.0,0.3796428918838501
8,0.83,0.3398286771774292
0,1.0,0.4205811595916748
1,1.0,0.39879177570343016
2,1.0,0.4162250471115112
3,0.83,0.3972741937637329
4,1.0,0.3784197425842285
5,1.0,0.4100460386276245
6,0.83,0.35500073432922363
7,1.0,0.3796428918838501
8,0.83,0.3398286771774292
9,0.83,0.35586108684539797
0,1.0,0.3824832582473755
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
5,0.83,0.3743496084213257
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
5,0.83,0.3743496084213257
6,1.0,0.3890214490890503
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
5,0.83,0.3743496084213257
6,1.0,0.3890214490890503
7,0.83,0.3584416675567627
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
5,0.83,0.3743496084213257
6,1.0,0.3890214490890503
7,0.83,0.3584416675567627
8,0.83,0.38146262645721435
0,1.0,0.3824832582473755
1,1.0,0.4032720184326172
2,0.83,0.38071134567260745
3,1.0,0.41354596614837646
4,0.83,0.35827050685882567
5,0.83,0.3743496084213257
6,1.0,0.3890214490890503
7,0.83,0.3584416675567627
8,0.83,0.38146262645721435
9,0.83,0.3811071443557739
0,0.92,0.3794302463531494
0,0.92,0.3794302463531494
1,0.92,0.4129156541824341
0,0.92,0.3794302463531494
1,0.92,0.4129156541824341
2,0.92,0.3803635931015015
0,0.92,0.3794302463531494
1,0.92,0.4129156541824341
2,0.92,0.3803635931015015
3,0.92,0.3391085720062256
0,0.92,0.37470489501953125
0,1.0,0.4296748352050781
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
5,1.0,0.38785706520080565
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
5,1.0,0.38785706520080565
6,0.83,0.34802051544189455
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
5,1.0,0.38785706520080565
6,0.83,0.34802051544189455
7,1.0,0.36422228813171387
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
5,1.0,0.38785706520080565
6,0.83,0.34802051544189455
7,1.0,0.36422228813171387
8,0.83,0.35865814685821534
0,1.0,0.4296748352050781
1,1.0,0.4134711313247681
2,1.0,0.4424311828613281
3,0.83,0.4215222978591919
4,1.0,0.36017374992370604
5,1.0,0.38785706520080565
6,0.83,0.34802051544189455
7,1.0,0.36422228813171387
8,0.83,0.35865814685821534
9,0.83,0.33338271141052245
0,1.0,0.38355217456817625
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
5,0.83,0.4233143663406372
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
5,0.83,0.4233143663406372
6,1.0,0.37294146060943606
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
5,0.83,0.4233143663406372
6,1.0,0.37294146060943606
7,0.83,0.33082775115966795
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
5,0.83,0.4233143663406372
6,1.0,0.37294146060943606
7,0.83,0.33082775115966795
8,0.83,0.3959878063201904
0,1.0,0.38355217456817625
1,1.0,0.4386554002761841
2,0.83,0.3941736364364624
3,1.0,0.4401659440994263
4,0.83,0.3618581295013428
5,0.83,0.4233143663406372
6,1.0,0.37294146060943606
7,0.83,0.33082775115966795
8,0.83,0.3959878063201904
9,0.83,0.4038463020324707
0,0.92,0.366980037689209
0,0.92,0.366980037689209
1,0.92,0.3584430122375488
0,0.92,0.366980037689209
1,0.92,0.3584430122375488
2,0.92,0.3716914129257202
0,0.92,0.3988449239730835
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
4,0.92,0.37639461517333983
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
4,0.92,0.37639461517333983
5,0.92,0.36561563968658445
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
4,0.92,0.37639461517333983
5,0.92,0.36561563968658445
6,0.92,0.36954823493957517
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
4,0.92,0.37639461517333983
5,0.92,0.36561563968658445
6,0.92,0.36954823493957517
7,0.92,0.3830560111999512
0,0.92,0.3988449239730835
1,0.92,0.4004818916320801
2,0.92,0.40138023853302
3,0.92,0.3644219636917114
4,0.92,0.37639461517333983
5,0.92,0.36561563968658445
6,0.92,0.36954823493957517
7,0.92,0.3830560111999512
8,0.92,0.3471007537841797
0,1.0,0.4009007787704468
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
4,1.0,0.4813359498977661
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
4,1.0,0.4813359498977661
5,1.0,0.40470716476440427
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
4,1.0,0.4813359498977661
5,1.0,0.40470716476440427
6,1.0,0.39289846897125247
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
4,1.0,0.4813359498977661
5,1.0,0.40470716476440427
6,1.0,0.39289846897125247
7,1.0,0.38543129920959474
0,1.0,0.4009007787704468
1,1.0,0.46334276676177977
2,1.0,0.43829544067382814
3,1.0,0.46387939453125
4,1.0,0.4813359498977661
5,1.0,0.40470716476440427
6,1.0,0.39289846897125247
7,1.0,0.38543129920959474
8,1.0,0.3566573047637939
0,1.0,0.4254230308532715
0,1.0,0.4254230308532715
1,1.0,0.4117833137512207
0,1.0,0.4254230308532715
1,1.0,0.4117833137512207
2,1.0,0.39392038345336916
0,1.0,0.3599656581878662
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
4,0.67,0.36761311054229734
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
4,0.67,0.36761311054229734
5,1.0,0.3711662292480469
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
4,0.67,0.36761311054229734
5,1.0,0.3711662292480469
6,0.83,0.3503412103652954
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
4,0.67,0.36761311054229734
5,1.0,0.3711662292480469
6,0.83,0.3503412103652954
7,0.83,0.3513694143295288
0,1.0,0.3599656581878662
1,1.0,0.4292645120620728
2,0.83,0.35150273323059084
3,1.0,0.4185580539703369
4,0.67,0.36761311054229734
5,1.0,0.3711662292480469
6,0.83,0.3503412103652954
7,0.83,0.3513694143295288
8,0.67,0.3238382434844971
0,0.92,0.3248331069946289
0,0.92,0.3248331069946289
1,0.75,0.33831498146057126
0,0.92,0.3248331069946289
1,0.75,0.33831498146057126
2,0.75,0.3523513126373291
0,0.92,0.3248331069946289
1,0.75,0.33831498146057126
2,0.75,0.3523513126373291
3,0.75,0.3284916114807129
0,1.0,0.46273271083831785
0,1.0,0.46273271083831785
1,0.83,0.3685571002960205
0,1.0,0.46273271083831785
1,0.83,0.3685571002960205
2,0.83,0.41300970554351807
0,1.0,0.46273271083831785
1,0.83,0.3685571002960205
2,0.83,0.41300970554351807
3,0.67,0.35660255432128907
0,0.92,0.3966426610946655
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
11,0.75,0.35818482875823976
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
11,0.75,0.35818482875823976
12,0.92,0.38150830745697023
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
11,0.75,0.35818482875823976
12,0.92,0.38150830745697023
13,0.92,0.3747566175460815
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
11,0.75,0.35818482875823976
12,0.92,0.38150830745697023
13,0.92,0.3747566175460815
14,0.75,0.3488426923751831
0,0.92,0.3966426610946655
1,0.92,0.4142455625534058
2,0.92,0.4258751058578491
3,0.92,0.4542113208770752
4,0.92,0.3763099956512451
5,0.92,0.4011342334747314
6,0.75,0.36419516563415527
7,0.92,0.38370676517486574
8,0.92,0.3719685125350952
9,0.92,0.3848200178146362
10,0.92,0.40297325611114504
11,0.75,0.35818482875823976
12,0.92,0.38150830745697023
13,0.92,0.3747566175460815
14,0.75,0.3488426923751831
15,0.92,0.36658377647399903
0,1.0,0.3378155517578125
0,1.0,0.3378155517578125
1,0.83,0.36368537425994873
0,1.0,0.3378155517578125
1,0.83,0.36368537425994873
2,0.83,0.3746611022949219
0,1.0,0.3378155517578125
1,0.83,0.36368537425994873
2,0.83,0.3746611022949219
3,1.0,0.45883443832397464
0,1.0,0.3378155517578125
1,0.83,0.36368537425994873
2,0.83,0.3746611022949219
3,1.0,0.45883443832397464
4,0.83,0.37563744068145755
0,1.0,0.3378155517578125
1,0.83,0.36368537425994873
2,0.83,0.3746611022949219
3,1.0,0.45883443832397464
4,0.83,0.37563744068145755
5,1.0,0.4009076690673828
