,CpuPercent,Latency
0,1.0,0.7894716119766235
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
5,1.0,0.7511557626724243
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
5,1.0,0.7511557626724243
6,0.83,0.7108633852005005
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
5,1.0,0.7511557626724243
6,0.83,0.7108633852005005
7,1.0,0.7592548418045044
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
5,1.0,0.7511557626724243
6,0.83,0.7108633852005005
7,1.0,0.7592548418045044
8,0.83,0.6967394161224365
0,1.0,0.7894716119766235
1,1.0,0.7516442918777466
2,1.0,0.7690926933288574
3,0.83,0.7597949361801147
4,1.0,0.7119082260131836
5,1.0,0.7511557626724243
6,0.83,0.7108633852005005
7,1.0,0.7592548418045044
8,0.83,0.6967394161224365
9,0.83,0.740672082901001
0,0.92,0.5938636970520019
0,0.92,0.5938636970520019
1,0.92,0.651785306930542
0,0.92,0.5938636970520019
1,0.92,0.651785306930542
2,0.92,0.6573255252838135
0,0.92,0.5938636970520019
1,0.92,0.651785306930542
2,0.92,0.6573255252838135
3,0.92,0.5887567710876465
0,0.92,0.6916212844848633
0,0.92,0.6916212844848633
1,0.92,0.7304328489303589
0,0.92,0.6916212844848633
1,0.92,0.7304328489303589
2,0.92,0.7228751230239868
0,0.92,0.6916212844848633
1,0.92,0.7304328489303589
2,0.92,0.7228751230239868
3,0.92,0.679895076751709
0,0.83,0.5904167461395263
0,1.0,0.8244910907745361
0,1.0,0.8244910907745361
1,1.0,0.8002781581878662
0,1.0,0.8244910907745361
1,1.0,0.8002781581878662
