,CpuPercent,Latency
0,1.0,5.171538275480271
0,1.0,5.171538275480271
1,1.0,5.176364314556122
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
5,1.0,5.198529708385467
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
5,1.0,5.198529708385467
6,1.0,5.206298851966858
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
5,1.0,5.198529708385467
6,1.0,5.206298851966858
7,1.0,5.15363422036171
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
5,1.0,5.198529708385467
6,1.0,5.206298851966858
7,1.0,5.15363422036171
8,1.0,5.1593675971031185
0,1.0,5.171538275480271
1,1.0,5.176364314556122
2,1.0,5.155304825305938
3,1.0,5.196478110551834
4,1.0,5.171347582340241
5,1.0,5.198529708385467
6,1.0,5.206298851966858
7,1.0,5.15363422036171
8,1.0,5.1593675971031185
9,1.0,5.164793395996094
0,1.0,5.1605882227420805
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
5,1.0,5.192673236131668
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
5,1.0,5.192673236131668
6,1.0,5.186801648139953
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
5,1.0,5.192673236131668
6,1.0,5.186801648139953
7,1.0,5.162469434738159
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
5,1.0,5.192673236131668
6,1.0,5.186801648139953
7,1.0,5.162469434738159
8,1.0,5.166486942768097
0,1.0,5.1605882227420805
1,1.0,5.198988455533981
2,1.0,5.181622326374054
3,1.0,5.20857624411583
4,1.0,5.195721888542176
5,1.0,5.192673236131668
6,1.0,5.186801648139953
7,1.0,5.162469434738159
8,1.0,5.166486942768097
9,1.0,5.1831550121307375
0,1.0,5.173180031776428
0,1.0,5.173180031776428
1,1.0,5.1553443431854244
0,1.0,5.173180031776428
1,1.0,5.1553443431854244
2,1.0,5.189253240823746
0,1.0,5.173180031776428
1,1.0,5.1553443431854244
2,1.0,5.189253240823746
3,1.0,5.19484144449234
0,1.0,5.198116731643677
0,1.0,5.17333921790123
0,1.0,5.17333921790123
1,1.0,5.160262644290924
0,1.0,5.17333921790123
1,1.0,5.160262644290924
2,1.0,5.183109319210052
0,1.0,5.17333921790123
1,1.0,5.160262644290924
2,1.0,5.183109319210052
3,1.0,5.174679362773896
0,1.0,5.17333921790123
1,1.0,5.160262644290924
2,1.0,5.183109319210052
3,1.0,5.174679362773896
4,1.0,5.2110180974006655
0,1.0,5.164236468076706
0,1.0,5.164236468076706
1,1.0,5.1945349156856535
0,1.0,5.164236468076706
1,1.0,5.1945349156856535
2,1.0,5.192283451557159
0,1.0,5.164236468076706
1,1.0,5.1945349156856535
2,1.0,5.192283451557159
3,1.0,5.176388800144196
0,1.0,5.164236468076706
1,1.0,5.1945349156856535
2,1.0,5.192283451557159
3,1.0,5.176388800144196
4,1.0,5.172940009832383
0,1.0,5.1883891999721525
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
3,1.0,5.189298766851425
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
3,1.0,5.189298766851425
4,1.0,5.23293769955635
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
3,1.0,5.189298766851425
4,1.0,5.23293769955635
5,1.0,5.143710374832153
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
3,1.0,5.189298766851425
4,1.0,5.23293769955635
5,1.0,5.143710374832153
6,1.0,5.162687027454377
0,1.0,5.1883891999721525
1,1.0,5.159302008152008
2,1.0,5.218351078033447
3,1.0,5.189298766851425
4,1.0,5.23293769955635
5,1.0,5.143710374832153
6,1.0,5.162687027454377
7,1.0,5.162686157226562
