,CpuPercent,Latency
0,1.0,0.06836434773036412
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
5,1.0,0.07030868189675467
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
5,1.0,0.07030868189675467
6,1.0,0.07040852819170271
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
5,1.0,0.07030868189675467
6,1.0,0.07040852819170271
7,1.0,0.06845510687146868
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
5,1.0,0.07030868189675467
6,1.0,0.07040852819170271
7,1.0,0.06845510687146868
8,1.0,0.06958415167672294
0,1.0,0.06836434773036412
1,1.0,0.06818811212267195
2,1.0,0.06867122650146484
3,1.0,0.06949055535452707
4,1.0,0.06887765611921037
5,1.0,0.07030868189675467
6,1.0,0.07040852819170271
7,1.0,0.06845510687146868
8,1.0,0.06958415167672294
9,1.0,0.06884422983442035
0,1.0,0.06885648454938616
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
5,1.0,0.06918854713439941
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
5,1.0,0.06918854713439941
6,1.0,0.06944502081189836
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
5,1.0,0.06918854713439941
6,1.0,0.06944502081189836
7,1.0,0.06768953800201416
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
5,1.0,0.06918854713439941
6,1.0,0.06944502081189836
7,1.0,0.06768953800201416
8,1.0,0.07031607968466623
0,1.0,0.06885648454938616
1,1.0,0.06916421481541225
2,1.0,0.06902356488364084
3,1.0,0.06823999541146415
4,1.0,0.06856663227081299
5,1.0,0.06918854713439941
6,1.0,0.06944502081189836
7,1.0,0.06768953800201416
8,1.0,0.07031607968466623
9,1.0,0.06845018182482038
0,1.0,0.07108955042702811
0,1.0,0.07108955042702811
1,1.0,0.06956429481506347
0,1.0,0.07108955042702811
1,1.0,0.06956429481506347
2,1.0,0.06946766376495361
0,1.0,0.07108955042702811
1,1.0,0.06956429481506347
2,1.0,0.06946766376495361
3,1.0,0.06796784400939941
0,1.0,0.06771277700151716
0,1.0,0.06813818727220808
0,1.0,0.06813818727220808
1,1.0,0.0680746180670602
0,1.0,0.06813818727220808
